image_name,azimuth_deg,rotation_deg,ground_truth_heading_deg,axis_error,90degrees_ambiquity,front_identified,confidence_score
position_009.png,1.0,30.0,33.39,3.39,False,False,0.7761144042015076
position_029.png,0.0,1.0,359.11,0.89,False,False,0.9247539043426514
position_036.png,177.0,-24.0,156.52,0.52,False,True,0.9301543235778809
position_045.png,350.0,32.0,30.84,1.16,False,False,0.9523727893829346
position_052.png,1.0,76.0,80.89,4.89,False,False,0.9552765488624573
position_059.png,357.0,35.0,34.9,0.1,False,False,0.8081900477409363
position_063.png,1.0,66.0,68.48,2.48,False,False,0.9844772815704346
position_069.png,185.0,56.0,144.37,1.63,True,False,0.7817783951759338
position_076.png,180.0,36.0,306.98,0.98,True,True,0.7774496078491211
position_088.png,355.0,59.0,56.79,2.21,False,False,0.9114441275596619
position_092.png,6.0,41.0,41.55,0.55,False,False,0.9312148690223694
position_156.png,1.0,-22.0,159.82,1.82,False,True,0.9835554957389832
position_167.png,6.0,41.0,134.01,3.0,True,True,0.9402670860290527
position_191.png,0.0,-1.0,174.17,4.83,False,True,0.9879248142242432
position_194.png,355.0,37.0,216.62,0.38,False,True,0.8890655040740967
position_232.png,185.0,45.0,225.02,0.2,False,True,0.9348369836807251
position_246.png,185.0,35.0,32.85,0.85,False,False,0.8675440549850464
position_285.png,357.0,-28.0,331.53,0.47,False,False,0.9836034774780273
position_298.png,179.0,36.0,304.31,1.69,True,True,0.750818133354187
position_322.png,178.0,84.0,84.18,0.18,False,False,0.9864033460617065
position_361.png,179.0,35.0,122.02,2.98,True,False,0.7305858135223389
position_379.png,357.0,-35.0,144.28,0.72,False,True,0.9411039352416992
position_387.png,5.0,-24.0,154.77,1.23,False,True,0.9704326391220093
position_402.png,179.0,24.0,111.7,2.3,True,False,0.9025691747665405
position_407.png,355.0,36.0,216.86,0.86,False,True,0.9181241989135742
position_410.png,357.0,-27.0,332.7,0.3,False,False,0.7944581508636475
position_419.png,353.0,22.0,291.53,0.47,True,False,0.970735490322113
position_426.png,180.0,36.0,215.24,0.76,False,True,0.7642673254013062
position_458.png,355.0,16.0,9.6,6.4,False,True,0.48738017678260803
position_468.png,176.0,19.0,285.8,3.2,True,True,0.9289693236351013
position_474.png,180.0,1.0,182.64,1.64,False,True,0.9806686043739319
position_485.png,175.0,8.0,185.54,2.46,False,True,0.9840515851974487
position_487.png,180.0,37.0,128.51,1.51,True,False,0.9039278626441956
position_508.png,181.0,-1.0,179.66,0.66,False,True,0.9738935828208923
position_533.png,182.0,1.0,180.93,0.07,False,True,0.9853031635284424
position_550.png,353.0,30.0,117.88,2.12,True,True,0.9705350399017334
position_579.png,178.0,70.0,341.35,1.35,True,True,0.9182227253913879
position_585.png,178.0,62.0,62.35,0.35,False,False,0.9419665932655334
position_618.png,178.0,85.0,265.18,0.18,False,True,0.917820155620575
position_624.png,357.0,-20.0,343.45,3.45,False,False,0.8769189119338989
